"shRanBP6_1.CEL"	"shRanBP6_2.CEL"	"shRanBP6_3.CEL"	"shRanBP6_DOX_1.CEL"	"shRanBP6_DOX_2.CEL"	"shRanBP6_DOX_3.CEL"
"STPG2"	4.4206	4.4541	4.6513	4.2586	4.5322	4.5327
"STRA13"	12.0323	12.0157	12.0647	11.8125	11.7362	11.6876
"STRA6"	4.4841	4.4923	4.7081	4.6779	4.6159	4.6968
"STRADA"	8.0909	8.0375	8.101	8.3921	8.5264	8.474
"STRADB"	9.9517	9.8253	9.8582	10.7556	10.6677	10.6925
"STRAP"	9.7841	9.7682	9.9125	9.7392	9.6134	9.6197
"STRBP"	9.2312	9.2984	9.1217	9.0543	9.007	8.8892
"STRC"	5.5207	5.3462	5.4657	5.6275	5.4741	5.482
"STRIP1"	9.3675	9.4586	9.3664	9.3431	9.214	9.2356
"STRIP2"	6.781	6.9382	6.804	6.9883	7.027	6.9488
"STRN"	6.4584	6.5944	6.5981	7.3868	7.3125	7.1777
"STRN3"	9.0482	9.1469	9.0957	9.0276	8.9605	8.9062
"STRN4"	6.4581	6.7071	6.527	6.4001	6.2886	6.3355
"STS"	5.9011	6.1335	6.0721	5.8015	5.6591	5.6036
"STT3A"	11.4227	11.3314	11.305	11.6901	11.5937	11.6021
"STT3B"	8.5171	8.5355	8.4389	8.63	8.5922	8.5877
"STUB1"	11.5096	11.5471	11.4401	11.4356	11.4669	11.468
"STX10"	10.2029	10.3285	10.18	9.6652	9.8002	9.56
"STX11"	4.4395	4.3358	4.4147	4.4484	4.4007	4.3109
"STX12"	11.0317	11.0406	11.0834	10.8231	10.8188	10.777
"STX16"	8.6472	8.7219	8.7695	9.0273	9.066	9.0223
"STX17"	7.9235	8.0573	7.9886	8.3297	8.3852	8.2941
"STX17-AS1"	6.3437	6.3528	6.3158	6.3833	6.3849	6.4615
"STX18"	8.7034	8.7517	8.7213	9.1498	9.1189	8.9945
"STX18-AS1"	4.2958	4.3271	4.2665	5.0987	4.6382	5.1079
"STX19"	3.3662	3.3553	3.5489	3.1241	3.3697	3.1155
"STX1A"	7.8286	7.8054	7.5782	7.5855	7.4225	7.4314
"STX1B"	5.7586	5.7226	5.504	5.5654	5.6114	5.6131
"STX2"	8.7676	8.7825	8.6383	8.4568	8.4769	8.3481
"STX3"	6.058	6.3071	6.3579	6.581	6.363	6.3869
"STX4"	9.4432	9.5887	9.4416	9.4678	9.4903	9.3819
"STX5"	6.5323	6.4811	6.6179	6.5351	6.4617	6.4588
"STX6"	7.3827	7.5315	7.2599	7.0912	7.1816	7.0681
"STX7"	7.5929	7.5998	7.6502	7.6055	7.5388	7.4416
"STX8"	6.6277	6.5699	6.7522	7.0792	7.1365	6.8471
"STXBP1"	8.6669	8.6142	8.6454	9.2612	9.0798	9.1016
"STXBP2"	6.3195	6.2844	6.3957	6.3544	6.3476	6.4093
"STXBP3"	7.6072	7.6872	7.7643	7.6304	7.744	7.757
"STXBP4"	6.7296	6.6646	6.738	6.5163	6.4083	6.3507
"STXBP5"	5.974	6.1365	6.2547	6.1537	5.8088	5.8468
"STXBP5-AS1"	3.286	3.4407	3.373	3.3943	3.4884	3.4774
"STXBP5L"	6.1413	6.2972	5.9328	5.4296	5.3205	4.5952
"STXBP6"	5.0647	5.1582	5.2453	5.7664	5.5554	5.8707
"STYK1"	4.7044	5.0528	4.6651	4.5105	4.4174	4.4395
"STYX"	6.6498	6.7272	6.7113	6.6474	6.4472	6.5258
"STYXL1"	8.9788	9.0181	8.9165	9.3236	9.3141	9.1428
"SUB1"	11.791	11.7024	11.7607	11.7951	11.7032	11.7243
"SUCLA2"	12.1216	12.0784	12.0614	11.7166	11.831	11.7666
"SUCLA2-AS1"	4.7341	4.5386	4.8828	4.5563	4.7521	4.856
"SUCLG1"	7.2778	7.2893	7.3118	7.7998	7.7321	7.7937
"SUCLG2"	9.7296	9.7648	9.7538	10.8534	10.8642	10.8796
"SUCLG2-AS1"	4.0044	3.8954	4.0391	4.128	4.1664	4.1066
"SUCNR1"	3.8826	4.2758	3.8108	4.166	4.0588	3.982
"SUCO"	10.6121	10.6872	10.7093	10.8339	10.8375	10.8467
"SUDS3"	10.0501	10.0215	9.9863	9.886	9.9369	9.8505
"SUFU"	5.1492	5.2511	5.3143	5.2404	5.268	5.0788
"SUGCT"	6.6823	6.9104	6.7367	7.6566	7.4205	7.5484
"SUGP1"	7.7089	7.7193	7.6871	7.7176	7.7709	7.7384
"SUGP2"	7.991	8.0673	8.3203	8.2447	8.2612	8.2829
"SUGT1"	9.0096	9.0009	8.917	9.1958	9.0868	9.2387
"SUGT1P1"	4.7106	4.9322	4.8924	4.8897	4.8644	4.8784
"SUGT1P3"	3.8725	3.808	3.7322	4.0055	3.8842	3.892
"SULF1"	8.3498	8.3203	8.2561	8.2563	8.3767	8.2954
"SULF2"	7.7893	7.8812	7.8013	8.1796	8.2277	8.1862
"SULT1A1"	8.8376	8.9935	9.0495	9.3429	9.344	9.3633
"SULT1A2"	8.6065	8.5033	8.5197	8.6948	8.7144	8.7123
"SULT1B1"	5.3802	5.3374	5.1715	5.2705	5.4713	5.3176
"SULT1C2"	4.3997	4.2615	4.247	4.1869	4.3193	4.4595
"SULT1C4"	4.9128	4.891	5.1214	4.95	4.7113	4.8328
"SULT1E1"	3.1259	3.0988	3.1812	3.056	3.2024	3.0777
"SULT2A1"	5.2323	5.55	5.1053	4.4557	4.6854	4.5028
"SULT2B1"	6.1385	6.084	5.982	5.9964	5.8574	5.9076
"SULT4A1"	8.766	8.8427	8.8178	8.2422	8.3766	8.2292
"SUMF1"	8.499	8.4664	8.4642	9.4497	9.413	9.3335
"SUMF2"	9.5579	9.5438	9.4086	10.006	9.8758	9.9637
"SUMO1"	12.1241	12.1376	12.1472	12.0477	12.0311	12.0427
"SUMO3"	10.5152	10.4718	10.398	10.8317	10.7571	10.777
"SUMO4"	10.9367	11.0348	10.9538	11.0293	11.0697	11.1684
"SUN1"	6.4058	6.5045	6.423	6.7517	6.6401	6.648
"SUN2"	8.1227	8.2816	8.2512	8.2565	8.3249	8.2687
"SUN3"	3.1899	3.2185	3.0762	2.993	3.1422	3.214
"SUN5"	6.6243	6.5145	6.5024	6.5575	6.52	6.6819
"SUOX"	6.6122	6.6713	6.646	6.8265	6.833	6.8412
"SUPT16H"	10.3507	10.5106	10.382	10.2473	10.1565	10.1381
"SUPT20H"	8.9178	8.9638	8.8327	8.9621	8.9941	8.8699
"SUPT3H"	7.516	7.6219	7.4298	7.3096	7.2284	7.1956
"SUPT4H1"	10.1492	10.0478	10.0917	10.0464	9.9369	9.9092
"SUPT5H"	8.9396	8.9198	8.9139	8.747	8.7571	8.73
"SUPT6H"	7.0621	7.0142	7.0521	7.123	7.0618	6.9191
"SUPT7L"	7.5838	7.6271	7.6474	7.5919	7.5165	7.453
"SUPV3L1"	10.468	10.4984	10.5045	9.7409	9.7223	9.5249
"SURF1"	8.0895	8.1115	8.1751	8.2292	8.1959	8.2346
"SURF2"	8.6916	8.7223	8.6236	8.5537	8.5468	8.4701
"SURF4"	9.8012	9.7138	9.7945	9.5448	9.4312	9.5578
"SURF6"	9.1096	9.1121	9.0549	8.6314	8.5859	8.5126
"SUSD1"	6.7371	6.727	6.6632	6.8167	6.8291	6.6646
"SUSD2"	5.4189	5.2393	5.3385	5.2773	5.3114	5.395
"SUSD3"	5.5164	5.3113	5.3451	5.3284	5.3508	5.3504
"SUSD4"	5.6204	5.5113	5.7533	5.5627	5.55	5.5954
"SUSD5"	7.6724	7.6521	7.5682	7.9956	8.0277	8.1283
"SUSD6"	8.7284	8.6502	8.7442	8.6814	8.739	8.6728
"SUV39H1"	8.5489	8.428	8.5417	8.3244	8.2534	8.2784
"SUV39H2"	9.4585	9.4586	9.3353	9.3006	9.208	9.0615
"SUV420H1"	8.9594	9.0632	8.9864	9.1265	9.0888	9.0417
"SUV420H2"	5.8704	5.8042	5.9026	5.7814	5.9029	5.8269
"SUZ12"	4.3114	4.4602	4.6716	4.8583	4.629	4.942
"SUZ12P1"	4.381	4.3866	4.6946	4.5229	4.5718	4.7376
"SV2A"	8.3377	8.3621	8.2737	8.7166	8.628	8.5188
"SV2B"	5.0581	4.9558	5.0679	4.9203	5.1141	5.2119
"SV2C"	3.6528	3.7221	3.6236	3.571	3.678	3.5657
"SVBP"	10.4141	10.3943	10.3726	9.8138	9.8187	9.5836
"SVEP1"	4.2924	4.4676	4.6277	4.3302	4.4433	4.3577
"SVIL"	6.0015	5.8712	5.7936	6.2115	6.2289	6.2914
"SVIP"	9.1057	9.1301	9.0785	9.1417	9.2848	9.1556
"SVOP"	4.34	4.2449	4.3769	4.3512	4.2785	4.1853
"SVOPL"	5.0779	4.7841	4.9309	4.7739	4.9444	5.0373
"SWAP70"	9.2282	9.1477	9.0535	8.7764	8.8255	8.8639
"SWI5"	9.637	9.6492	9.4769	9.7524	9.6969	9.6404
"SWSAP1"	8.2107	8.1577	8.0847	7.6536	7.5675	7.5534
"SWT1"	9.2623	9.2284	9.1244	8.3447	8.5509	8.2396
"SYAP1"	11.8095	11.8597	11.8027	11.7916	11.824	11.7837
"SYBU"	8.7177	8.8345	8.6229	8.6165	8.6529	8.5563
"SYCE1"	3.8541	3.8583	3.9252	3.9487	3.9368	3.8516
"SYCE1L"	4.391	4.239	4.4916	4.8103	4.692	4.7025
"SYCE2"	5.0643	4.8885	4.6014	5.0375	4.97	5.111
"SYCE3"	6.3605	6.1678	6.4121	6.3741	6.3126	6.4375
"SYCN"	5.4118	5.2571	5.355	5.2163	5.3173	5.3863
"SYCP1"	3.2818	3.2574	3.2964	3.358	3.2606	3.1044
"SYCP2"	3.6446	3.9703	3.6289	3.9733	3.9484	3.881
"SYCP2L"	7.2238	7.3078	7.4696	7.7779	7.6341	7.7749
"SYCP3"	3.1092	3.0969	3.0113	3.0995	2.9684	3.0065
"SYDE1"	6.4483	6.4885	6.4208	6.5077	6.5607	6.6251
"SYDE2"	6.8737	7.0428	6.9698	7.0251	6.9072	6.8145
"SYF2"	7.6059	7.7337	7.7731	7.3709	7.4442	7.4389
"SYK"	6.0988	6.1924	6.1326	6.6658	6.7304	6.5547
"SYMPK"	7.2991	7.2988	7.3468	7.4712	7.3651	7.385
"SYN1"	6.2811	6.0052	6.027	5.6887	5.6591	5.7365
"SYN2"	6.2723	6.2838	6.0586	6.2487	6.1156	6.1049
"SYN3"	6.0285	5.9343	6.1726	5.8555	5.9855	6.1624
"SYNC"	6.2577	6.3698	6.3441	7.0614	6.6939	6.8108
"SYNCRIP"	10.9973	11.0469	11.1312	10.9593	10.9316	10.8292
"SYNDIG1"	3.9876	4.2866	4.1578	4.1511	4.0284	4.238
"SYNDIG1L"	5.0581	5.1502	5.057	4.8669	4.9812	4.9644
"SYNE1"	3.78	4.0359	4.0392	4.5062	4.1494	4.4594
"SYNE2"	4.8814	4.8972	4.8907	4.7374	4.7867	4.8882
"SYNE3"	5.3916	5.1793	5.1295	5.2657	5.2133	5.2187
"SYNE4"	5.0126	5.0511	5.1348	5.1875	5.0921	5.2836
"SYNGAP1"	6.1643	6.0419	6.0687	6.0392	6.0858	6.1844
"SYNGR1"	7.9755	8.028	7.8911	8.1164	7.9348	8.0408
"SYNGR2"	7.4031	7.3865	7.3973	7.2297	7.3717	7.3597
"SYNGR3"	8.2864	8.3728	8.2656	8.6347	8.509	8.4354
"SYNGR4"	5.6007	5.3445	5.3066	5.2975	5.3912	5.272
"SYNJ1"	5.5304	5.4776	5.585	5.1187	5.029	5.0136
"SYNJ2"	6.4679	6.2753	6.2043	6.4199	6.3343	6.075
"SYNM"	5.5625	5.6602	5.7548	5.8386	5.8284	5.6822
"SYNPO"	5.9821	5.8703	5.9702	5.8205	5.9216	5.9404
"SYNPO2"	4.1236	3.9018	3.9812	3.9129	3.8431	3.8579
"SYNPO2L"	4.5042	4.5178	4.5811	4.7018	4.5825	4.6012
"SYNPR"	3.8389	3.5196	3.5476	3.5008	3.519	3.5673
"SYNPR-AS1"	4.2685	4.2605	4.1383	4.1861	4.2405	4.1687
"SYNRG"	7.9535	7.9724	7.8434	7.8263	7.8035	7.7488
"SYP"	6.8725	6.8007	7.2965	6.3162	6.5322	5.9931
"SYPL1"	10.175	10.0619	10.1008	10.2047	10.1171	10.1913
"SYPL2"	6.9051	6.7762	6.7296	7.2166	7.2188	7.1636
"SYS1"	8.5128	8.4618	8.4309	8.2212	8.2568	8.1862
"SYT1"	7.9034	8.0603	7.933	8.2598	8.18	8.12
"SYT11"	7.1837	7.1916	7.1801	4.7292	5.297	4.7548
"SYT12"	5.4901	5.4923	5.419	5.2253	5.277	5.2514
"SYT13"	4.9149	4.7954	4.8903	4.8049	4.7985	4.8343
"SYT14"	3.6549	3.9334	3.8962	3.6657	3.5258	3.8205
"SYT15"	6.791	6.7285	6.8134	6.7155	6.796	6.773
"SYT16"	3.5892	3.8305	3.6561	3.6194	3.7443	3.7352
"SYT17"	5.443	5.4113	5.4165	5.6694	5.7878	5.9082
"SYT2"	6.2214	6.2242	6.2263	6.0849	6.2193	6.3411
"SYT3"	5.9602	6.1192	5.8629	6.1182	6.0413	5.9025
"SYT4"	5.0486	4.8695	5.0416	5.2908	5.0726	5.0975
"SYT5"	4.6829	4.5825	4.5029	4.4371	4.4911	4.5315
"SYT6"	5.991	5.9445	5.9847	6.017	6.2013	5.8207
"SYT7"	4.4322	4.3825	4.4729	4.296	4.4118	4.3667
"SYT8"	6.5453	6.481	6.4011	6.2767	6.3521	6.124
"SYT9"	4.2314	4.0075	4.0759	4.0748	3.9404	4.1956
"SYTL1"	5.5569	5.6384	5.9501	6.2667	6.3505	6.5377
"SYTL2"	5.1921	4.971	4.854	5.2783	5.2632	5.1348
"SYTL3"	3.3707	3.3706	3.4974	3.4805	3.4568	3.4928
"SYTL4"	5.3899	4.9895	5.2577	5.098	5.2513	5.1914
"SYTL5"	5.5431	5.6293	5.5741	5.7421	5.702	5.6326
"SZRD1"	8.5821	8.592	8.5376	8.2304	8.2225	8.1698
"SZT2"	5.5946	5.598	5.659	5.6477	5.6569	5.5049
"T"	6.4985	6.4581	6.4169	6.3629	6.3397	6.5622
"TAAR1"	3.2562	3.3697	3.1934	3.212	3.1871	3.3169
"TAAR2"	3.9491	4.3204	4.0606	3.7777	4.1789	4.01
"TAAR3"	4.099	4.1999	4.1224	4.0518	4.1457	4.1224
"TAAR5"	5.3492	5.5805	5.5398	5.2433	5.4617	5.5321
"TAAR8"	5.0252	5.1504	5.0187	4.8701	4.9605	5.0087
"TAAR9"	4.4991	4.2999	4.3466	4.3439	4.3498	4.3258
"TAB1"	5.9247	5.8827	5.73	6.0126	6.0068	5.9862
"TAB2"	8.8772	8.9362	8.9131	8.7498	8.6748	8.6119
"TAB3"	4.2007	4.4332	4.4018	4.3413	4.2952	4.1475
"TAC1"	7.5345	7.6587	7.6367	7.0401	6.8704	6.7284
"TAC3"	6.8796	6.5165	6.5468	6.669	6.6223	6.6511
"TACC1"	5.8591	5.9535	5.928	6.0363	6.0006	6.0131
"TACC2"	5.5272	5.4272	5.552	5.5586	5.5605	5.6063
"TACC3"	9.2726	9.2509	9.2081	9.2775	9.3648	9.2217
"TACO1"	7.0549	7.1259	7.2331	7.5396	7.4606	7.6355
"TACR1"	4.2056	4.5223	4.4512	4.2539	4.2219	4.2682
"TACR2"	4.8564	4.5539	4.6733	4.6869	4.8614	4.8411
"TACR3"	4.6565	4.6931	4.6707	4.4967	4.8402	4.7157
"TACSTD2"	5.0768	4.8611	4.8499	4.8597	4.9116	4.9435
"TADA1"	7.2872	7.2497	7.3522	7.3414	7.1051	7.1238
"TADA2A"	7.1615	7.1579	7.0585	7.1685	7.0395	6.9906
"TADA2B"	8.5409	8.446	8.359	8.7175	8.7942	8.7104
"TADA3"	7.1074	7.115	7.0918	6.9038	7.0774	6.9771
"TAF1"	6.7799	6.7776	6.7529	6.9054	6.744	6.6685
"TAF10"	6.5836	6.1375	6.2376	6.1346	6.3481	6.2199
"TAF11"	10.8863	10.7989	10.7264	10.5161	10.5989	10.5482
"TAF12"	10.1973	10.2785	10.1387	10.0363	10.0766	10.0613
"TAF13"	9.2826	9.4819	9.4679	8.6311	8.596	8.5103
"TAF15"	7.9406	8.029	8.5037	8.384	8.0667	8.4202
"TAF1A"	10.4933	10.6059	10.5773	9.6928	9.8151	9.7922
"TAF1A-AS1"	7.0599	7.2481	6.823	6.8055	6.5534	6.4012
"TAF1B"	8.4635	8.4473	8.324	7.7998	7.8372	7.6057
"TAF1C"	7.6633	7.7786	7.6975	7.5179	7.5943	7.6144
"TAF1D"	8.4816	8.5521	8.8521	8.3273	8.3084	8.2767
"TAF1L"	4.5565	4.6869	4.6194	4.6583	4.5531	4.8139
"TAF2"	10.57	10.5419	10.4772	10.1311	10.2496	10.1674
"TAF3"	8.409	8.4213	8.4476	8.1761	8.374	8.3283
"TAF4"	7.3598	7.4944	7.4777	7.5711	7.4412	7.4542
"TAF4B"	9.3526	9.3125	9.2218	8.8554	8.7564	8.7417
"TAF5"	10.6071	10.6304	10.5195	10.2315	10.3204	10.206
"TAF5L"	8.9637	8.914	8.9956	9.1449	9.1783	9.0377
"TAF6"	8.4485	8.1924	8.4548	8.5554	8.6526	8.5266
"TAF6L"	6.2764	6.284	6.3055	5.962	6.0894	6.0824
"TAF7"	11.178	11.2401	11.2403	11.4488	11.3284	11.3486
"TAF7L"	4.9609	5.2498	4.9912	4.5434	4.6863	4.842
"TAF8"	7.4047	7.277	7.2722	7.1516	7.1418	7.0142
"TAF9B"	7.5895	7.6743	7.6145	8.0911	8.0733	8.1136
"TAGAP"	3.7424	3.9546	3.9473	3.7619	3.8697	3.7792
"TAGLN"	6.4274	6.3136	6.3452	6.4011	6.3179	6.2007
"TAGLN2"	10.7686	10.7344	10.8327	10.7342	10.7462	10.6925
"TAGLN3"	4.545	4.6969	4.7915	4.7366	4.7821	4.7639
"TAL1"	5.6232	5.6517	5.6155	5.6902	5.7023	5.7296
"TAL2"	5.374	5.3367	5.2374	5.2805	5.4206	5.2846
"TALDO1"	11.9741	11.9566	11.8858	12.3057	12.191	12.213
"TAMM41"	5.2455	5.2483	5.2501	5.5486	5.7178	5.7573
"TANC1"	5.8019	5.6319	5.6925	5.783	5.7391	5.7828
"TANC2"	5.7429	5.7396	5.5661	5.7743	5.4752	5.3815
"TANGO2"	8.7897	8.5236	8.6178	8.343	8.398	8.4688
"TANGO6"	8.762	8.7078	8.6933	8.4248	8.4588	8.2723
"TANK"	8.7163	8.8587	8.5887	8.4374	8.3261	8.3003
"TAOK1"	8.043	8.186	8.2957	8.1016	8.0769	7.997
"TAOK2"	7.3982	7.231	7.1677	6.8551	6.9566	6.854
"TAOK3"	7.2632	7.3453	7.1509	6.9206	7.0455	6.9164
"TAP1"	7.9647	7.8153	7.9519	8.4554	8.4444	8.4404
"TAP2"	6.7519	6.5984	6.5736	6.4698	6.2996	6.3363
"TAPBP"	5.5991	5.426	5.3758	5.524	5.4573	5.5581
"TAPBPL"	4.5459	4.5554	4.65	4.546	4.6749	4.6496
"TAPT1"	5.0023	4.9748	5.0102	5.144	5.1127	5.1682
"TAPT1-AS1"	4.7062	5.0899	4.7839	6.3109	5.8429	6.0405
"TARBP1"	10.0987	10.1122	10.0582	10.4419	10.4191	10.4235
"TARBP2"	8.7295	8.5907	8.6976	9.1348	8.9518	8.9568
"TARDBP"	9.366	9.4902	9.5943	8.796	8.7643	8.8128
"TARP"	4.3118	4.1344	4.4382	4.1118	4.3677	4.5461
"TARS"	9.5859	9.433	9.5152	9.0302	8.986	9.0542
"TARSL2"	8.434	8.5411	8.3982	8.1996	8.2703	8.1682
"TAS1R1"	4.835	4.895	4.9163	4.8707	5.0366	4.932
"TAS1R2"	4.8047	4.8467	4.6616	4.6125	5.0382	4.5623
"TAS2R1"	5.961	5.9857	5.9771	5.824	5.8127	5.9257
"TAS2R10"	3.2696	3.3987	3.4809	3.339	3.3442	3.4834
"TAS2R13"	4.1305	3.9207	3.7545	4.0923	3.8428	4.0095
"TAS2R14"	4.836	4.8297	4.8018	4.7387	4.5287	4.8685
"TAS2R16"	3.551	3.6111	3.6911	3.4233	3.6434	3.4857
"TAS2R19"	3.3323	3.3285	3.2587	3.1703	3.2212	3.3519
"TAS2R3"	4.7943	4.8313	4.845	4.8108	4.8138	4.9842
"TAS2R38"	5.1426	4.5265	5.0462	4.4994	4.7896	4.7216
"TAS2R39"	4.3367	4.2196	4.295	4.0506	4.2192	4.2329
"TAS2R4"	4.182	4.5201	4.2871	4.2961	4.5289	4.2753
"TAS2R40"	3.3953	3.5123	3.5974	3.5284	3.6434	3.5112
"TAS2R41"	5.359	5.1997	5.0895	5.3018	5.2902	5.1666
"TAS2R45"	3.1959	3.131	3.1934	2.9756	3.1915	3.1202
"TAS2R5"	4.7832	4.7275	4.6171	4.7888	4.8229	4.9403
"TAS2R50"	3.7106	3.7923	4.0006	3.5936	3.8538	3.8042
"TAS2R7"	4.0188	3.8766	3.9947	3.8427	3.7405	3.8429
"TAS2R8"	3.4253	3.3589	3.3465	3.3277	3.2338	3.3311
"TAS2R9"	3.893	3.6831	3.7349	3.678	3.9075	3.5992
"TASP1"	7.5833	7.5822	7.5476	7.2224	7.1712	7.0768
"TAT"	4.2576	4.2965	4.4061	4.2695	4.3997	4.1515
"TATDN1"	11.3325	11.3881	11.3846	10.8535	10.9653	10.7986
"TATDN2"	7.6941	7.6298	7.6009	7.457	7.4619	7.4028
"TATDN3"	8.7706	8.6539	8.6094	8.6037	8.6206	8.5225
"TAX1BP1"	11.5523	11.5975	11.5343	11.4755	11.4933	11.4478
"TAZ"	7.1335	7.0262	7.0808	8.0308	7.8604	8.0449
"TBATA"	4.8267	4.6333	4.7419	4.5316	5.0368	4.6336
"TBC1D1"	4.2767	4.3084	4.2751	4.2846	4.1276	4.2972
"TBC1D10A"	6.3714	6.3711	6.3295	6.2293	6.2647	6.321
"TBC1D10B"	8.6384	8.4931	8.553	8.5637	8.4294	8.4395
"TBC1D10C"	6.5804	6.3623	6.4402	6.3121	6.4398	6.3802
"TBC1D12"	6.9537	6.9201	6.8526	6.7717	6.7511	6.7284
"TBC1D13"	8.0535	8.0792	7.9943	8.5445	8.4697	8.504
"TBC1D14"	9.4086	9.3603	9.3997	9.5502	9.4818	9.4161
"TBC1D15"	9.243	9.1746	9.2674	8.82	8.8147	8.6948
"TBC1D16"	7.2518	7.2579	7.2078	6.7076	6.9437	6.9311
"TBC1D17"	6.4178	6.5113	6.6937	6.3898	6.4039	6.3102
"TBC1D19"	6.2277	6.264	6.4156	7.4313	7.0762	7.0159
"TBC1D2"	5.0254	5.1538	5.0527	4.8788	5.0069	5.1162
"TBC1D20"	7.8106	7.8049	7.7983	7.6747	7.6493	7.6058
"TBC1D21"	5.9282	5.711	5.6001	5.728	5.7113	5.7955
"TBC1D22A"	8.2035	8.3115	8.1232	8.1747	8.0714	8.1104
"TBC1D22A-AS1"	3.6402	3.6402	3.6402	3.7142	3.5735	3.6488
"TBC1D22B"	4.643	4.8272	5.0046	4.7157	5.0243	4.7734
"TBC1D23"	10.1353	10.0908	10.0589	9.8497	9.9124	9.8198
"TBC1D24"	8.4776	8.4849	8.5717	8.2281	8.1065	8.1528
"TBC1D25"	7.4652	7.488	7.5086	7.3577	7.2778	7.2258
"TBC1D27"	4.6834	4.7131	4.6658	4.4949	4.6248	4.6373
"TBC1D28"	4.771	4.4296	4.909	4.5357	4.6162	4.5595
"TBC1D29"	5.1842	5.2304	5.3502	5.4023	5.4013	5.3609
"TBC1D2B"	6.3953	6.3204	6.3462	6.3503	6.3051	6.2533
"TBC1D30"	5.9315	5.9187	5.6834	5.6776	5.7924	5.6819
"TBC1D31"	8.5392	8.4622	8.4822	8.819	8.6936	8.7172
"TBC1D32"	7.1279	7.2196	7.2123	7.7141	7.7681	7.8575
"TBC1D4"	10.678	10.777	10.7346	11.0659	11.0352	11.083
"TBC1D5"	8.1164	8.1775	8.1198	8.4893	8.5189	8.4104
"TBC1D7"	7.5424	7.3623	7.3674	7.3622	7.472	7.3497
"TBC1D8"	7.2623	7.2468	7.2835	7.0568	7.098	6.9752
"TBC1D8B"	5.7113	5.6223	5.5265	6.2512	6.1714	6.2979
"TBC1D9"	7.0705	6.8978	7.0043	6.6693	6.77	6.8159
"TBC1D9B"	8.087	8.1135	8.0343	8.5086	8.545	8.622
"TBCA"	13.394	13.3784	13.3338	13.3463	13.3697	13.3696
"TBCB"	11.6948	11.6989	11.5724	11.3297	11.3609	11.2839
"TBCC"	9.6415	9.632	9.6149	9.6026	9.4906	9.6109
"TBCCD1"	8.0402	8.0861	8.262	8.619	8.3462	8.5175
"TBCD"	6.5731	6.3844	6.4703	6.3502	6.2978	6.333
"TBCE"	10.8604	10.8708	10.7974	10.6362	10.7211	10.6415
"TBCEL"	6.7073	6.306	6.6174	6.7794	6.8639	6.7395
"TBCK"	8.0897	7.9895	8.0238	9.207	9.2288	9.182
"TBK1"	10.3276	10.3569	10.3285	9.7381	9.9082	9.6903
"TBKBP1"	6.4294	6.3608	6.5341	6.3207	6.3706	6.3222
"TBL1X"	7.4511	7.3803	7.4254	7.4269	7.3871	7.2543
"TBL1XR1"	8.5131	8.5492	8.3263	8.0865	8.1188	7.9665
"TBL1Y"	5.0023	5.0396	5.0546	5.1506	5.115	5.0053
"TBL2"	8.6039	8.6373	8.6267	8.3368	8.2844	8.3836
"TBL3"	7.6411	7.6923	7.5936	7.5076	7.4478	7.4753
"TBP"	10.7766	10.6895	10.6984	10.1258	10.0697	10.0477
"TBPL1"	10.5775	10.427	10.5849	10.5334	10.4144	10.4455
"TBR1"	3.508	3.5275	3.82	3.4563	3.5828	3.4822
"TBRG1"	7.4936	7.7268	7.4959	7.2925	7.2406	7.1059
"TBRG4"	6	6.0968	5.9077	6.1208	5.8307	6.0644
"TBX1"	5.1429	5.278	5.1403	4.9773	5.2723	5.2881
"TBX10"	4.5308	4.4365	4.6559	4.5318	4.5271	4.4794
"TBX15"	5.7651	5.5204	5.65	5.5868	5.4551	5.5317
"TBX18"	5.1425	5.1198	4.9846	5.0689	5.1001	4.9853
"TBX19"	5.7134	5.6528	5.7669	5.5896	5.7364	5.7961
"TBX2"	6.6234	6.5556	6.648	6.6547	6.5165	6.6183
"TBX20"	3.463	3.6477	3.8661	3.5672	3.4293	3.4753
"TBX21"	5.4928	5.4098	5.7714	5.2833	5.514	5.3464
"TBX22"	3.089	3.1017	3.1669	2.9657	2.9912	3.1435
"TBX3"	6.0041	6.1321	5.9382	5.9734	5.961	6.0306
"TBX4"	5.5343	5.194	5.5656	5.1006	5.3658	5.5119
"TBX5"	4.1646	4.1332	4.2874	4.1386	4.1028	4.2575
"TBX5-AS1"	3.6845	3.6576	3.4635	3.6226	3.5812	3.5638
"TBX6"	5.26	5.1499	5.3215	5.1873	5.1561	5.1702
"TBXA2R"	6.4258	6.4055	6.5036	6.3545	6.5211	6.3672
"TBXAS1"	4.4786	4.1226	4.2603	4.3768	4.2916	4.3767
"TC2N"	7.3853	7.5877	7.5357	6.8807	6.9471	6.9534
"TCAF1"	10.0517	10.0674	9.992	10.2824	10.4625	10.4659
"TCAIM"	8.5763	8.4347	8.3874	8.1596	8.0575	7.8767
"TCAM1P"	4.1329	3.971	3.9415	4.4609	4.432	4.5797
"TCAP"	6.4145	6.5374	6.2999	6.0008	6.2737	6.3717
"TCEA1"	6.8706	6.8577	6.9791	6.8419	6.8018	7.1682
"TCEA2"	7.017	6.8638	7.1514	7.6737	7.7017	7.7032
"TCEA3"	5.7153	5.7674	5.7807	5.762	5.7893	5.9048
"TCEAL1"	11.2627	11.3308	11.3715	10.9722	11.104	10.9833
"TCEAL2"	3.5739	3.7588	3.8331	3.5427	3.6242	3.7683
