"shRanBP6_1.CEL"	"shRanBP6_2.CEL"	"shRanBP6_3.CEL"	"shRanBP6_DOX_1.CEL"	"shRanBP6_DOX_2.CEL"	"shRanBP6_DOX_3.CEL"
"ACVR1C"	6.44	6.659	6.5735	6.5039	6.3787	6.1926
"ACVR2A"	8.2642	8.3232	8.271	8.3686	8.2967	8.2459
"ACVR2B"	8.9971	8.8441	8.8676	8.1655	8.273	8.1007
"ACVR2B-AS1"	6.0152	5.9341	5.8	6.3279	6.0376	6.2157
"ACVRL1"	4.8576	4.7762	4.8449	4.823	4.9149	4.9397
"ACY1"	5.1182	5.0457	5.1266	4.9362	5.1073	4.9142
"ACY3"	4.8658	4.7846	4.7917	4.6675	4.834	4.9331
"ACYP1"	10.9065	10.9847	10.8821	10.773	10.887	10.8399
"ACYP2"	8.5944	8.5059	8.3598	8.2663	8.1899	8.1897
"ADA"	8.7765	8.8284	8.7719	8.7849	8.7723	8.6837
"ADAD1"	3.9989	3.8113	3.8518	3.6963	3.8734	3.9729
"ADAD2"	6.3286	6.2	6.3524	6.2082	6.2966	6.4079
"ADAL"	7.7438	7.821	7.7638	7.4668	7.4678	7.3564
"ADAM10"	7.013	7.1881	6.9207	7.0784	6.9564	6.9176
"ADAM11"	6.8283	6.8794	6.8967	6.837	6.8688	6.8435
"ADAM12"	3.9887	4.2442	4.1214	4.1509	4.0749	4.1778
"ADAM15"	7.6166	7.6493	7.6719	7.3396	7.4092	7.4398
"ADAM17"	8.7939	8.7096	8.7361	8.6349	8.622	8.6466
"ADAM18"	3.8045	3.7699	3.7724	3.828	3.7686	3.8218
"ADAM19"	4.8089	4.9236	4.738	5.0871	5.1489	5.3552
"ADAM1A"	7.0001	7.323	7.3637	7.6226	7.5117	7.4787
"ADAM2"	3.2235	3.2002	3.0889	3.2193	3.2002	3.3338
"ADAM20"	5.4984	5.4677	5.3607	5.3677	5.4044	5.5076
"ADAM21"	5.4756	5.4955	5.3574	4.6137	4.9258	4.9083
"ADAM22"	5.0605	5.0325	5.0064	5.3928	5.3491	5.2779
"ADAM23"	5.4318	5.4587	5.5207	6.2498	6.1562	6.1117
"ADAM28"	3.6159	3.4531	3.543	3.5568	3.5562	3.5759
"ADAM30"	4.4247	4.2646	4.4112	4.1873	4.3019	4.225
"ADAM32"	3.1346	3.1289	3.1445	3.1632	3.0745	3.0587
"ADAM33"	6.229	6.179	6.5077	6.2831	6.2335	6.4348
"ADAM3A"	3.5972	3.6849	3.5533	3.3171	3.5319	3.5397
"ADAM5"	3.9696	3.9514	3.978	3.9591	3.9535	3.8582
"ADAM6"	4.8157	4.4386	4.8293	4.6538	4.4919	4.711
"ADAM7"	3.826	4.0401	4.1043	3.795	3.9867	3.9566
"ADAM8"	6.0106	5.9236	5.8984	5.8475	5.9833	5.8936
"ADAM9"	7.7227	7.7719	7.5295	7.1227	7.0674	7.0712
"ADAMDEC1"	3.3697	3.3009	3.5368	3.5117	3.4926	3.6057
"ADAMTS1"	10.1289	10.2479	10.1109	9.9189	9.8751	9.835
"ADAMTS10"	5.6211	5.7703	5.6112	5.5775	5.6035	5.5516
"ADAMTS12"	5.3534	5.2612	5.2113	5.2723	5.2487	5.3542
"ADAMTS13"	7.1023	7.0301	7.0376	6.9181	7.0635	7.0038
"ADAMTS14"	5.9352	5.6984	5.7276	5.8422	5.6936	5.7832
"ADAMTS15"	5.392	5.5015	5.4207	5.5082	5.4209	5.489
"ADAMTS16"	5.0623	4.9237	4.8762	4.8102	4.7798	4.6145
"ADAMTS17"	5.5021	5.5332	5.5569	6.1142	6.05	6.1762
"ADAMTS18"	4.2713	4.2871	4.4934	4.2402	4.3531	4.2179
"ADAMTS19"	5.7743	5.9009	5.7847	5.8591	5.5737	5.7235
"ADAMTS2"	5.1243	5.1775	5.111	5.4052	5.4248	5.4761
"ADAMTS20"	3.9383	3.7814	3.8215	3.9288	3.7483	3.9702
"ADAMTS3"	7.7832	7.9494	7.7794	8.4461	8.3771	8.3458
"ADAMTS4"	6.1339	5.9418	5.8844	5.8751	6.243	6.0553
